"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","public","law","power","america","great","world","war","state","nation","nation"
"2","nation","congress","principl","new","state","new","call","constitut","freedom","life"
"3","duti","polici","citizen","time","war","econom","still","union","peac","mean"
"4","interest","question","execut","let","unit","human","less","right","world","thing"
"5","foreign","offic","form","world","import","progress","common","law","know","good"
"6","preserv","make","exist","today","continu","determin","found","now","free","great"
"7","equal","busi","liberti","work","peac","hold","civil","protect","man","spirit"
"8","everi","secur","becom","now","support","way","wrong","whole","faith","everi"
"9","happi","elect","well","togeth","everi","advanc","solemn","object","hope","day"
"10","limit","enforc","measur","make","necessari","individu","assur","free","help","see"
"11","confid","among","spirit","centuri","revenu","peac","side","territori","believ","purpos"
"12","general","condit","charact","god","made","system","even","institut","earth","yet"
"13","present","increas","govern","nation","respect","republ","everi","section","histori","chang"
"14","good","polit","subject","presid","commerc","opportun","father","exercis","right","democraci"
"15","time","demand","act","american","year","mankind","pass","administr","unit","understand"
"16","fellowcitizen","trade","system","generat","parti","concern","requir","power","futur","old"
"17","opinion","industri","circumst","year","time","order","serv","practic","secur","use"
"18","trust","interest","depart","just","mani","respons","carri","author","live","live"
"19","best","race","legisl","children","nation","cooper","also","feder","human","heart"
"20","prosper","influenc","danger","fellow","purpos","prosper","enemi","extend","liberti","mani"
