"","state stability","topic 2","topic 3","social welfare","topic 5","topic 6","topic 7","topic 8","diplomacy","topic 10","files"
"1",0.306027820710974,0.0293663060278207,0.200927357032458,0.0340030911901082,0.1112828438949,0.0494590417310665,0.0726429675425039,0.0973724884080371,0.035548686244204,0.0633693972179289,"George Washington"
"2",0.116504854368932,0.106796116504854,0.155339805825243,0.0970873786407767,0.0679611650485437,0.0776699029126214,0.116504854368932,0.106796116504854,0.0970873786407767,0.058252427184466,"George Washington- II"
"3",0.30791788856305,0.0498533724340176,0.155425219941349,0.032258064516129,0.159335288367546,0.0527859237536657,0.0566959921798631,0.0801564027370479,0.0254154447702835,0.0801564027370479,"John Adams"
"4",0.244640605296343,0.0226986128625473,0.119798234552333,0.0504413619167718,0.0933165195460277,0.0794451450189155,0.0453972257250946,0.131147540983607,0.145018915510719,0.0680958385876419,"Thomas Jefferson"
"5",0.328671328671329,0.0839160839160839,0.122877122877123,0.016983016983017,0.131868131868132,0.026973026973027,0.037962037962038,0.127872127872128,0.0669330669330669,0.0559440559440559,"Thomas Jefferson- II"
"6",0.393884892086331,0.0683453237410072,0.109712230215827,0.0341726618705036,0.133093525179856,0.0287769784172662,0.0323741007194245,0.0737410071942446,0.0665467625899281,0.0593525179856115,"James Madison"
"7",0.171929824561404,0.0315789473684211,0.0789473684210526,0.0298245614035088,0.240350877192982,0.0333333333333333,0.217543859649123,0.0736842105263158,0.0508771929824561,0.0719298245614035,"James Madison- II"
"8",0.271941489361702,0.0139627659574468,0.122340425531915,0.0106382978723404,0.40093085106383,0.0305851063829787,0.0126329787234043,0.100398936170213,0.0206117021276596,0.0159574468085106,"James Monroe"
"9",0.130812468063362,0.0500766479305059,0.14256515074093,0.0107307102708227,0.489524782830864,0.0189064895247828,0.0316811446090956,0.0827797649463465,0.0255493101686254,0.0173735309146653,"James Monroe- II"
"10",0.320060105184072,0.0375657400450789,0.102930127723516,0.0165289256198347,0.169045830202855,0.0555972952667168,0.0465815176558978,0.173553719008264,0.0646130728775357,0.0135236664162284,"John Quincy Adams"
"11",0.367647058823529,0.0845588235294118,0.141544117647059,0.0220588235294118,0.143382352941176,0.0275735294117647,0.0349264705882353,0.119485294117647,0.03125,0.0275735294117647,"Andrew Jackson"
"12",0.263940520446097,0.0223048327137546,0.0892193308550186,0.0539033457249071,0.152416356877323,0.0464684014869888,0.0353159851301115,0.241635687732342,0.0613382899628253,0.033457249070632,"Andrew Jackson- II"
"13",0.294836202109939,0.033870072182121,0.173792337590228,0.0199888950583009,0.156579677956691,0.0627429205996669,0.0627429205996669,0.119378123264853,0.0433092726263187,0.0327595780122154,"Martin van Buren"
"14",0.109542631281762,0.0609824957651045,0.457086391869001,0.00818746470920384,0.119424054206663,0.00705815923207228,0.0101637492941841,0.167419536984754,0.0214568040654997,0.0386787125917561,"William Henry Harrison"
"15",0.212306247064349,0.0507280413339596,0.146547674964772,0.0197275716298732,0.136683889149836,0.0281822451855331,0.0155002348520432,0.34429309534993,0.0281822451855331,0.017848755284171,"James K. Polk"
"16",0.278409090909091,0.0662878787878788,0.159090909090909,0.0378787878787879,0.172348484848485,0.0681818181818182,0.0189393939393939,0.143939393939394,0.0303030303030303,0.0246212121212121,"Zachary Taylor"
"17",0.202113606340819,0.0442536327608983,0.136063408190225,0.0409511228533686,0.132760898282695,0.0482166446499339,0.0898282694848085,0.168428005284016,0.102377807133421,0.0350066050198151,"Franklin Pierce"
"18",0.175438596491228,0.0961098398169336,0.154843630816171,0.0312738367658276,0.173150266971777,0.0183066361556064,0.0236460717009916,0.259344012204424,0.0434782608695652,0.0244088482074752,"James Buchanan"
"19",0.081327260897853,0.119063109954457,0.104749512036435,0.0117111255692908,0.11060507482108,0.0156148340923878,0.0657124268054652,0.41249186727391,0.0214703968770332,0.0572543916720885,"Abraham Lincoln"
"20",0.09366391184573,0.0716253443526171,0.0606060606060606,0.104683195592287,0.101928374655647,0.0385674931129477,0.242424242424242,0.112947658402204,0.0964187327823691,0.0771349862258953,"Abraham Lincoln- II"
"21",0.180147058823529,0.220588235294118,0.0588235294117647,0.0441176470588235,0.141544117647059,0.0422794117647059,0.0698529411764706,0.152573529411765,0.0606617647058824,0.0294117647058824,"Ulysses S. Grant"
"22",0.121753246753247,0.154220779220779,0.123376623376623,0.0616883116883117,0.189935064935065,0.0649350649350649,0.0925324675324675,0.0681818181818182,0.073051948051948,0.0503246753246753,"Ulysses S. Grant- II"
"23",0.208406304728546,0.232049036777583,0.117338003502627,0.0218914185639229,0.155866900175131,0.0560420315236427,0.0280210157618214,0.115586690017513,0.0227670753064799,0.042031523642732,"Rutherford B. Hayes"
"24",0.110949963741842,0.237128353879623,0.050761421319797,0.0703408266860043,0.11530094271211,0.04713560551124,0.0319071791153009,0.203045685279188,0.0804931109499637,0.0529369108049311,"James Garfield"
"25",0.223225806451613,0.180645161290323,0.126451612903226,0.0503225806451613,0.0464516129032258,0.110967741935484,0.0761290322580645,0.110967741935484,0.0451612903225806,0.0296774193548387,"Grover Cleveland"
"26",0.117853560682046,0.302407221664995,0.09679037111334,0.0285857572718154,0.12086258776329,0.0581745235707121,0.0416248746238716,0.127883650952859,0.0466399197592778,0.0591775325977934,"Benjamin Harrison"
"27",0.178835978835979,0.141798941798942,0.125925925925926,0.0306878306878307,0.107936507936508,0.140740740740741,0.0857142857142857,0.0962962962962963,0.0349206349206349,0.0571428571428571,"Grover Cleveland- II"
